Sex,AgeClass,WeightClassKg,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,IPFPoints,weight_bin
F,24-34,67.5,Wraps,135.0,85.0,160.0,651.39,60–75
F,20-23,82.5,Wraps,120.0,50.0,115.0,444.23,75–90
F,35-39,67.5,Wraps,80.0,50.0,100.0,384.69,60–75
F,24-34,90.0,Raw,,55.0,,419.02,75–90
F,40-44,67.5,Wraps,87.5,57.5,110.0,428.6,60–75
F,35-39,67.5,Wraps,210.0,85.0,180.0,803.14,60–75
F,18-19,110.0,Wraps,132.5,80.0,132.5,483.19,105–120
F,40-44,75.0,Wraps,112.5,65.0,150.0,530.51,60–75
M,24-34,125.0,Raw,,240.0,,763.83,120+
M,20-23,110.0,Wraps,285.0,172.5,300.0,659.93,105–120
M,35-39,90.0,Wraps,217.5,152.5,262.5,633.4,75–90
M,24-34,100.0,Wraps,250.0,147.5,240.0,567.7,90–105
M,24-34,125.0,Wraps,235.0,135.0,220.0,466.01,120+
M,20-23,110.0,Wraps,200.0,150.0,250.0,508.9,105–120
M,40-44,110.0,Raw,,190.0,,654.23,105–120
M,24-34,110.0,Wraps,340.0,200.0,330.0,763.55,105–120
M,35-39,125.0,Wraps,215.0,175.0,300.0,555.09,120+
M,24-34,100.0,Raw,,170.0,,632.17,90–105
M,24-34,90.0,Wraps,240.0,132.5,250.0,593.04,75–90
M,24-34,90.0,Wraps,215.0,150.0,275.0,632.12,75–90
M,24-34,125.0,Wraps,310.0,192.5,270.0,645.59,120+
M,24-34,90.0,Wraps,245.0,145.0,260.0,628.58,75–90
M,24-34,110.0,Wraps,337.5,190.0,327.5,753.73,105–120
M,24-34,82.5,Wraps,217.5,120.0,215.0,551.93,75–90
M,24-34,82.5,Wraps,205.0,107.5,220.0,525.21,75–90
M,40-44,110.0,Wraps,335.0,205.0,310.0,748.83,105–120
M,24-34,125.0,Wraps,255.0,185.0,300.0,593.49,120+
M,50-54,110.0,Wraps,215.0,155.0,240.0,520.9,105–120
M,70-74,110.0,Wraps,167.5,130.0,187.5,397.29,105–120
F,24-34,56.0,Raw,75.0,45.0,112.5,421.19,<60
F,24-34,60.0,Wraps,120.0,52.5,137.5,550.55,<60
F,40-44,82.5,Raw,115.0,65.0,145.0,507.21,75–90
F,24-34,75.0,Raw,92.5,75.0,137.5,492.56,60–75
F,50-54,110.0,Raw,100.0,65.0,150.0,464.92,105–120
F,24-34,82.5,Wraps,112.5,75.0,160.0,541.04,75–90
F,24-34,67.5,Wraps,125.0,77.5,142.5,579.13,60–75
F,24-34,67.5,Wraps,102.5,62.5,132.5,522.1,60–75
F,24-34,52.0,Wraps,75.0,40.0,100.0,400.9,<60
F,40-44,75.0,Wraps,127.5,67.5,145.0,547.92,60–75
F,18-19,52.0,Raw,30.0,22.5,45.0,159.38,<60
F,20-23,82.5,Wraps,130.0,95.0,160.0,597.24,75–90
F,50-54,75.0,Wraps,97.5,60.0,140.0,479.57,60–75
F,24-34,75.0,Wraps,150.0,87.5,165.0,647.64,60–75
F,24-34,52.0,Wraps,120.0,70.0,152.5,658.3,<60
M,24-34,100.0,Wraps,205.0,132.5,250.0,516.86,90–105
M,24-34,82.5,Wraps,225.0,145.0,265.0,643.17,75–90
M,24-34,100.0,Wraps,235.0,170.0,255.0,596.35,90–105
M,24-34,75.0,Wraps,235.0,150.0,260.0,696.65,60–75
M,24-34,82.5,Raw,162.5,112.5,180.0,455.9,75–90
M,18-19,90.0,Wraps,195.0,127.5,235.0,523.06,75–90
M,13-15,100.0,Wraps,135.0,75.0,160.0,304.87,90–105
M,24-34,67.5,Wraps,80.0,45.0,140.0,263.95,60–75
M,24-34,82.5,Multi-ply,240.0,125.0,240.0,513.38,75–90
M,60-64,67.5,Raw,140.0,97.5,192.5,484.82,60–75
M,24-34,125.0,Wraps,265.0,145.0,255.0,545.35,120+
M,24-34,67.5,Raw,160.0,120.0,237.5,601.51,60–75
M,24-34,110.0,Wraps,225.0,145.0,240.0,522.73,105–120
M,24-34,110.0,Wraps,275.0,190.0,280.0,639.96,105–120
M,40-44,82.5,Multi-ply,220.0,150.0,220.0,509.4,75–90
M,18-19,100.0,Wraps,185.0,127.5,270.0,523.25,90–105
M,35-39,100.0,Multi-ply,300.0,205.0,260.0,579.6,90–105
M,20-23,125.0,Wraps,222.5,137.5,240.0,467.17,120+
M,24-34,82.5,Wraps,260.0,145.0,270.0,689.03,75–90
M,40-44,140.0,Wraps,305.0,155.0,305.0,610.41,120+
M,24-34,100.0,Wraps,230.0,120.0,252.5,553.08,90–105
M,20-23,100.0,Wraps,225.0,157.5,245.0,565.74,90–105
F,35-39,90.0,Wraps,140.0,80.0,150.0,554.71,75–90
M,24-34,82.5,Wraps,250.0,140.0,267.5,676.99,75–90
M,20-23,67.5,Wraps,220.0,130.0,210.0,648.79,60–75
F,24-34,67.5,Wraps,165.0,75.0,185.0,720.22,60–75
F,20-23,75.0,Wraps,155.0,72.5,150.0,612.0,60–75
M,24-34,82.5,Wraps,260.0,160.0,265.0,697.01,75–90
M,24-34,90.0,Wraps,230.0,180.0,270.0,651.37,75–90
M,24-34,125.0,Wraps,275.0,167.5,272.5,572.14,120+
M,24-34,82.5,Wraps,232.5,125.0,250.0,624.53,75–90
M,20-23,60.0,Wraps,152.5,85.0,195.0,540.29,<60
M,18-19,90.0,Wraps,200.0,120.0,202.5,483.28,75–90
F,24-34,67.5,Wraps,155.0,80.0,130.0,616.96,60–75
M,20-23,100.0,Wraps,245.0,142.5,75.0,388.92,90–105
M,24-34,75.0,Wraps,212.5,117.5,220.0,606.31,60–75
M,20-23,75.0,Wraps,187.5,120.0,227.5,567.6,60–75
M,24-34,75.0,Wraps,185.0,122.5,225.0,572.98,60–75
M,24-34,75.0,Wraps,200.0,115.0,205.0,549.31,60–75
M,16-17,75.0,Wraps,70.0,126.0,100.0,273.79,60–75
M,24-34,82.5,Wraps,280.0,155.0,290.0,744.8,75–90
M,24-34,82.5,Wraps,250.0,180.0,250.0,692.16,75–90
M,24-34,82.5,Wraps,247.5,175.0,247.5,682.72,75–90
M,24-34,82.5,Wraps,212.5,152.5,240.0,604.94,75–90
M,24-34,82.5,Wraps,210.0,132.5,245.0,585.98,75–90
M,24-34,82.5,Wraps,225.0,115.0,245.0,586.35,75–90
M,24-34,82.5,Wraps,180.0,120.0,205.0,499.63,75–90
M,24-34,82.5,Wraps,177.5,130.0,192.5,486.08,75–90
M,24-34,82.5,Wraps,180.0,110.0,200.0,487.56,75–90
M,70-74,82.5,Wraps,127.5,85.5,140.0,322.83,75–90
M,24-34,90.0,Wraps,270.0,172.5,257.5,674.23,75–90
M,24-34,90.0,Wraps,250.0,155.0,275.0,651.6,75–90
M,24-34,90.0,Wraps,265.0,142.5,265.0,648.67,75–90
M,20-23,90.0,Wraps,250.0,160.0,260.0,651.51,75–90
M,20-23,90.0,Wraps,200.0,102.5,215.0,493.29,75–90
M,65-69,90.0,Wraps,160.0,95.0,190.0,420.13,75–90
M,20-23,100.0,Wraps,285.0,170.0,285.0,671.97,90–105
M,24-34,100.0,Wraps,245.0,152.5,292.5,629.11,90–105
M,24-34,100.0,Wraps,252.5,170.0,267.5,619.7,90–105
M,24-34,100.0,Wraps,220.0,150.0,270.0,579.83,90–105
M,20-23,100.0,Wraps,235.0,160.0,240.0,564.96,90–105
M,16-17,100.0,Wraps,255.0,145.0,230.0,594.43,90–105
